read
ID,source,tweetId,label,instance,start,end,tweetText,notes
501,lightTag,'383889868423581696',place name,Pakistan,29,37,Magnitude 6.8 #quake strikes Pakistan - USGS. See more news on http://t.co/cK4yjj127w #pakistan #earthquake,
502,lightTag,'592911368203935745',place name,Kathmandu,28,37,"RT @vijaita: Reporting from Kathmandu, the clock says it all.....earthquake struck at 11.58 am local time @IndianExpress http://t.co/JDw7ke�??",
503,lightTag,'592911368203935745',location modifier,from,23,27,"RT @vijaita: Reporting from Kathmandu, the clock says it all.....earthquake struck at 11.58 am local time @IndianExpress http://t.co/JDw7ke�??",
504,lightTag,'505091868334362624',place name,Napa,45,49,RT @msnbc: New early-warning system detected Napa earthquake 10 seconds before it happened: http://t.co/4PCqnjgWJa http://t.co/BGjLKmPsCi,
505,lightTag,'504760943876657152',place name,Napa,37,41,"USGS, Tuesday Midday Update on South Napa Earthquake... http://t.co/phbEr496EH",
506,lightTag,'504760943876657152',location modifier,on,28,30,"USGS, Tuesday Midday Update on South Napa Earthquake... http://t.co/phbEr496EH",
507,lightTag,'592339328174436352',place name,Nepal,46,51,RT @rsprasad: All phone calls from #India to #Nepal made by any #BSNL or #MTNL phone shall be charged at local rates &amp; not at ISD rates. #N�??,
508,lightTag,'592339328174436352',place name,India,36,41,RT @rsprasad: All phone calls from #India to #Nepal made by any #BSNL or #MTNL phone shall be charged at local rates &amp; not at ISD rates. #N�??,
509,lightTag,'503696907064328192',place name,Napa,10,14,Photos of Napa quake damage. http://t.co/N3guDFXOjK,
510,lightTag,'503696907064328192',type of impact,damage,21,27,Photos of Napa quake damage. http://t.co/N3guDFXOjK,
511,lightTag,'593157962501357569',place name,Nepal,31,36,Facebook and Google Respond to Nepal Earthquake With Tech Tools http://t.co/8H2erQoJaD http://t.co/4rJ8B7PeSK,
512,lightTag,'503764713734295552',item affected,State of Emergency,66,84,RT @janinebucks: �?? http://t.co/ajOqRkvk2B 48 �?? earthquake �?? State of Emergency Declared After California Earthquake http://t.co/GTJcgE8gli,
513,lightTag,'503764713734295552',place name,California,100,110,RT @janinebucks: �?? http://t.co/ajOqRkvk2B 48 �?? earthquake �?? State of Emergency Declared After California Earthquake http://t.co/GTJcgE8gli,
514,lightTag,'383574460965474304',location modifier,62km NNE of,32,43,"RT @seismicupdate: #USGS M 3.0, 62km NNE of Road Town, British Virgin Islands http://t.co/kkWk0fvYR5 #earthquake",
