read
ID,source,tweetId,label,instance,start,end,tweetText,notes
700,lightTag,'501296897663832064',place name,"India, Nepal",39,51,"CNN Headline News: Deadly monsoon hits India, Nepal http://t.co/PJ5tHJJp7o #cnn #news",
701,lightTag,'501345342957158400',type of impact,Killed,20,26,#Times #News Scores Killed in Flooding in #Nepal and #India http://t.co/9vAxwaZxtK,
702,lightTag,'501345342957158400',severity or quantity,Scores,13,19,#Times #News Scores Killed in Flooding in #Nepal and #India http://t.co/9vAxwaZxtK,
703,lightTag,'501345342957158400',place name,India,54,59,#Times #News Scores Killed in Flooding in #Nepal and #India http://t.co/9vAxwaZxtK,
704,lightTag,'501345342957158400',place name,Nepal,43,48,#Times #News Scores Killed in Flooding in #Nepal and #India http://t.co/9vAxwaZxtK,
705,lightTag,'501345342957158400',location modifier,in,39,41,#Times #News Scores Killed in Flooding in #Nepal and #India http://t.co/9vAxwaZxtK,
706,lightTag,'499008569409146881',type of impact,displaced,94,103,Floods claim 45 lives in India: NEW DELHI: Flooding in eastern India has killed 45 people and displaced more than... http://t.co/4FXdipZ0vK,
707,lightTag,'499008569409146881',type of impact,killed,73,79,Floods claim 45 lives in India: NEW DELHI: Flooding in eastern India has killed 45 people and displaced more than... http://t.co/4FXdipZ0vK,
708,lightTag,'499008569409146881',type of impact,claim,7,12,Floods claim 45 lives in India: NEW DELHI: Flooding in eastern India has killed 45 people and displaced more than... http://t.co/4FXdipZ0vK,
709,lightTag,'499008569409146881',place name,India,25,30,Floods claim 45 lives in India: NEW DELHI: Flooding in eastern India has killed 45 people and displaced more than... http://t.co/4FXdipZ0vK,
710,lightTag,'499008569409146881',severity or quantity,45,80,82,Floods claim 45 lives in India: NEW DELHI: Flooding in eastern India has killed 45 people and displaced more than... http://t.co/4FXdipZ0vK,
711,lightTag,'499008569409146881',location modifier,in eastern,52,62,Floods claim 45 lives in India: NEW DELHI: Flooding in eastern India has killed 45 people and displaced more than... http://t.co/4FXdipZ0vK,
712,lightTag,'499008569409146881',place name,NEW DELHI,32,41,Floods claim 45 lives in India: NEW DELHI: Flooding in eastern India has killed 45 people and displaced more than... http://t.co/4FXdipZ0vK,
713,lightTag,'499008569409146881',item affected,people,83,89,Floods claim 45 lives in India: NEW DELHI: Flooding in eastern India has killed 45 people and displaced more than... http://t.co/4FXdipZ0vK,
714,lightTag,'499008569409146881',item affected,lives,16,21,Floods claim 45 lives in India: NEW DELHI: Flooding in eastern India has killed 45 people and displaced more than... http://t.co/4FXdipZ0vK,
715,lightTag,'499008569409146881',location modifier,in,22,24,Floods claim 45 lives in India: NEW DELHI: Flooding in eastern India has killed 45 people and displaced more than... http://t.co/4FXdipZ0vK,
